interaction_id,location,time_of_day,weather
1,Chicago,Evening,Sunny
2,Houston,Night,Rainy
3,New York,Evening,Snowy
4,San Francisco,Afternoon,Sunny
5,Chicago,Evening,Sunny
6,Houston,Night,Sunny
7,Chicago,Evening,Sunny
8,Houston,Evening,Cloudy
9,Los Angeles,Night,Cloudy
10,Houston,Night,Snowy
11,Houston,Afternoon,Rainy
12,New York,Evening,Snowy
13,Los Angeles,Afternoon,Sunny
14,Los Angeles,Evening,Sunny
15,Los Angeles,Night,Cloudy
16,New York,Evening,Cloudy
17,Chicago,Morning,Sunny
18,Chicago,Night,Snowy
19,New York,Afternoon,Cloudy
20,Chicago,Afternoon,Cloudy
21,Houston,Night,Cloudy
22,Los Angeles,Evening,Snowy
23,Houston,Afternoon,Snowy
24,San Francisco,Evening,Cloudy
25,San Francisco,Afternoon,Snowy
26,San Francisco,Evening,Snowy
27,Houston,Morning,Sunny
28,Houston,Morning,Rainy
29,San Francisco,Evening,Sunny
30,New York,Night,Rainy
31,Los Angeles,Night,Snowy
32,Los Angeles,Afternoon,Cloudy
33,Houston,Morning,Sunny
34,Chicago,Morning,Rainy
35,Houston,Night,Sunny
36,Los Angeles,Afternoon,Snowy
37,Houston,Night,Sunny
38,Houston,Night,Cloudy
39,Houston,Night,Rainy
40,San Francisco,Morning,Sunny
41,Houston,Night,Snowy
42,Houston,Evening,Cloudy
43,New York,Night,Cloudy
44,San Francisco,Afternoon,Sunny
45,Houston,Morning,Sunny
46,Los Angeles,Evening,Cloudy
47,Chicago,Evening,Cloudy
48,Los Angeles,Morning,Rainy
49,Houston,Evening,Sunny
50,New York,Night,Snowy
51,Houston,Morning,Cloudy
52,Chicago,Evening,Rainy
53,Los Angeles,Night,Sunny
54,New York,Evening,Rainy
55,Chicago,Afternoon,Sunny
56,Los Angeles,Evening,Sunny
57,Houston,Evening,Snowy
58,New York,Morning,Snowy
59,New York,Morning,Cloudy
60,Los Angeles,Night,Cloudy
61,San Francisco,Afternoon,Cloudy
62,New York,Afternoon,Rainy
63,Los Angeles,Evening,Snowy
64,New York,Night,Sunny
65,Los Angeles,Morning,Rainy
66,Chicago,Morning,Sunny
67,New York,Afternoon,Sunny
68,New York,Morning,Cloudy
69,New York,Morning,Sunny
70,New York,Morning,Rainy
71,New York,Evening,Sunny
72,Houston,Night,Cloudy
73,New York,Evening,Rainy
74,San Francisco,Night,Sunny
75,Los Angeles,Evening,Snowy
76,Los Angeles,Night,Rainy
77,New York,Morning,Snowy
78,Houston,Afternoon,Sunny
79,San Francisco,Night,Cloudy
80,Los Angeles,Morning,Snowy
81,Houston,Afternoon,Sunny
82,Los Angeles,Evening,Snowy
83,Los Angeles,Morning,Cloudy
84,New York,Night,Cloudy
85,San Francisco,Afternoon,Snowy
86,Los Angeles,Night,Snowy
87,Los Angeles,Morning,Snowy
88,Los Angeles,Evening,Sunny
89,Houston,Afternoon,Sunny
90,Chicago,Evening,Snowy
91,Chicago,Afternoon,Rainy
92,Chicago,Evening,Sunny
93,San Francisco,Morning,Sunny
94,New York,Evening,Sunny
95,Houston,Morning,Rainy
96,Houston,Morning,Snowy
97,Houston,Morning,Cloudy
98,Houston,Evening,Rainy
99,Houston,Night,Cloudy
100,San Francisco,Afternoon,Sunny
101,Los Angeles,Morning,Sunny
102,Houston,Morning,Snowy
103,San Francisco,Night,Cloudy
104,Houston,Afternoon,Cloudy
105,Chicago,Morning,Snowy
106,Los Angeles,Evening,Sunny
107,New York,Night,Rainy
108,Chicago,Evening,Rainy
109,Los Angeles,Morning,Snowy
110,Houston,Afternoon,Cloudy
111,New York,Afternoon,Sunny
112,New York,Night,Snowy
113,Houston,Night,Rainy
114,Los Angeles,Afternoon,Snowy
115,Houston,Evening,Snowy
116,Los Angeles,Afternoon,Sunny
117,Los Angeles,Morning,Snowy
118,Houston,Evening,Snowy
119,San Francisco,Night,Sunny
120,San Francisco,Night,Cloudy
121,Houston,Night,Sunny
122,Houston,Evening,Rainy
123,Los Angeles,Morning,Rainy
124,Los Angeles,Morning,Cloudy
125,San Francisco,Afternoon,Cloudy
126,Houston,Night,Sunny
127,Houston,Morning,Sunny
128,Los Angeles,Morning,Snowy
129,Houston,Night,Rainy
130,San Francisco,Evening,Snowy
131,San Francisco,Morning,Snowy
132,Chicago,Afternoon,Sunny
133,San Francisco,Afternoon,Rainy
134,Houston,Morning,Snowy
135,San Francisco,Morning,Cloudy
136,San Francisco,Afternoon,Sunny
137,Los Angeles,Morning,Snowy
138,San Francisco,Afternoon,Cloudy
139,New York,Evening,Rainy
140,Los Angeles,Evening,Snowy
141,San Francisco,Evening,Snowy
142,San Francisco,Evening,Rainy
143,Chicago,Afternoon,Sunny
144,New York,Evening,Sunny
145,San Francisco,Night,Rainy
146,Los Angeles,Morning,Sunny
147,Los Angeles,Morning,Cloudy
148,San Francisco,Evening,Sunny
149,Los Angeles,Night,Rainy
150,Houston,Afternoon,Cloudy
151,Houston,Afternoon,Cloudy
152,Houston,Night,Sunny
153,Chicago,Evening,Cloudy
154,Chicago,Evening,Sunny
155,San Francisco,Evening,Sunny
156,Houston,Morning,Cloudy
157,New York,Night,Snowy
158,Houston,Night,Sunny
159,Houston,Afternoon,Rainy
160,Los Angeles,Evening,Sunny
161,Houston,Evening,Rainy
162,Chicago,Afternoon,Rainy
163,New York,Night,Cloudy
164,Los Angeles,Afternoon,Cloudy
165,Los Angeles,Evening,Sunny
