user_id,restaurant_id,interaction_type,timestamp
314,409,like,2024-01-04 10:43:00
869,424,click,2024-01-05 03:46:00
368,32,click,2024-01-06 09:12:00
429,472,visit,2024-01-04 11:11:00
830,28,like,2024-01-03 15:21:00
807,206,click,2024-01-06 20:47:00
480,493,like,2024-01-02 08:11:00
314,387,click,2024-01-01 18:31:00
500,228,click,2024-01-01 14:32:00
721,128,like,2024-01-06 12:34:00
355,255,click,2024-01-04 04:27:00
485,475,visit,2024-01-05 11:59:00
211,212,click,2024-01-02 02:01:00
704,239,click,2024-01-04 20:06:00
44,207,visit,2024-01-04 02:17:00
541,318,visit,2024-01-04 20:40:00
571,283,click,2024-01-06 11:21:00
583,245,click,2024-01-07 07:25:00
92,45,click,2024-01-06 08:35:00
265,105,click,2024-01-02 20:44:00
895,348,review,2024-01-07 13:18:00
220,281,like,2024-01-01 12:26:00
902,234,click,2024-01-04 15:23:00
925,189,click,2024-01-05 17:46:00
442,44,review,2024-01-03 20:05:00
401,494,visit,2024-01-05 05:57:00
400,225,visit,2024-01-01 16:46:00
727,430,like,2024-01-06 15:29:00
991,142,click,2024-01-03 23:50:00
899,136,click,2024-01-07 07:22:00
789,176,review,2024-01-02 23:56:00
576,142,visit,2024-01-07 19:43:00
858,449,click,2024-01-02 09:46:00
804,80,click,2024-01-04 20:36:00
490,82,click,2024-01-03 20:27:00
485,135,like,2024-01-04 15:21:00
757,207,click,2024-01-04 22:29:00
470,344,click,2024-01-04 17:59:00
574,177,review,2024-01-07 04:53:00
938,383,click,2024-01-03 02:08:00
844,243,click,2024-01-06 04:55:00
682,55,click,2024-01-03 13:02:00
445,141,click,2024-01-04 18:20:00
269,457,click,2024-01-03 00:31:00
267,440,review,2024-01-05 18:57:00
54,56,like,2024-01-04 19:25:00
528,15,click,2024-01-05 01:18:00
520,185,click,2024-01-01 12:53:00
616,314,visit,2024-01-02 11:44:00
59,419,click,2024-01-07 09:04:00
825,88,click,2024-01-05 03:40:00
40,97,review,2024-01-05 10:37:00
237,144,click,2024-01-06 15:41:00
955,8,click,2024-01-03 05:57:00
386,477,click,2024-01-06 16:35:00
